X,Y,Date,ConfirmedCovidCases,TotalConfirmedCovidCases,ConfirmedCovidDeaths,TotalCovidDeaths,StatisticsProfileDate,CovidCasesConfirmed,HospitalisedCovidCases,RequiringICUCovidCases,HealthcareWorkersCovidCases,ClustersNotified,HospitalisedAged5,HospitalisedAged5to14,HospitalisedAged15to24,HospitalisedAged25to34,HospitalisedAged35to44,HospitalisedAged45to54,HospitalisedAged55to64,HospitalisedAged65up,Male,Female,Unknown,Aged1to4,Aged5to14,Aged15to24,Aged25to34,Aged35to44,Aged45to54,Aged55to64,Aged65up,Median_Age,CommunityTransmission,CloseContact,TravelAbroad,FID
-856335.869598373,7036492.39571864,2021/02/02 00:00:00+00,879,198424,101,3418,2021/01/31 00:00:00+00,197349,11159,1215,25658,11802,113,96,391,676,816,1257,1573,6235,93306,103998,45,4800,11446,34427,35410,31739,30103,22904,26480,41,0,0,0,338
-856335.869598373,7036492.39571864,2021/02/03 00:00:00+00,1013,199430,94,3512,2021/02/01 00:00:00+00,198223,11249,1220,25806,11822,113,96,396,684,824,1262,1585,6287,93723,104454,46,4823,11498,34559,35534,31897,30235,22996,26641,41,0,0,0,339
-856335.869598373,7036492.39571864,2021/02/04 00:00:00+00,1318,200744,75,3586,2021/02/02 00:00:00+00,199230,11340,1229,25946,11847,113,96,401,693,830,1276,1594,6335,94188,104995,47,4858,11567,34699,35689,32061,30395,23103,26818,41,0,0,0,340
-856335.869598373,7036492.39571864,2021/02/05 00:00:00+00,1047,201763,35,3621,2021/02/03 00:00:00+00,200543,11450,1233,26083,11872,114,97,403,704,835,1288,1610,6396,94815,105680,48,4892,11656,34920,35897,32271,30588,23260,27018,40,0,0,0,341
-856335.869598373,7036492.39571864,2021/02/06 00:00:00+00,827,202548,55,3674,2021/02/04 00:00:00+00,201585,11551,1237,26206,11900,115,97,408,708,845,1298,1627,6450,95321,106216,48,4926,11740,35083,36070,32420,30752,23381,27172,38,0,0,0,342
-856335.869598373,7036492.39571864,2021/02/07 00:00:00+00,1024,203568,12,3686,2021/02/05 00:00:00+00,202413,11615,1244,26282,11922,116,98,411,709,848,1305,1634,6491,95733,106632,48,4962,11814,35198,36190,32599,30881,23448,27280,38,0,0,0,343
-856335.869598373,7036492.39571864,2021/02/08 00:00:00+00,829,204397,6,3687,2021/02/06 00:00:00+00,203436,11674,1252,26367,11922,117,98,413,712,856,1312,1642,6521,96222,107166,48,4991,11914,35407,36358,32757,31027,23547,27394,35,0,0,0,344
-856335.869598373,7036492.39571864,2021/02/09 00:00:00+00,556,204940,68,3752,2021/02/07 00:00:00+00,204262,11734,1258,26450,11930,118,98,417,718,856,1318,1649,6557,96620,107593,49,5049,12000,35547,36484,32874,31147,23612,27508,35,0,0,0,345
-856335.869598373,7036492.39571864,2021/02/10 00:00:00+00,1006,205939,54,3794,2021/02/08 00:00:00+00,204815,11806,1265,26519,11955,118,101,420,721,867,1323,1657,6596,96904,107860,51,5071,12050,35636,36560,32971,31238,23660,27588,39,0,0,0,346
-856335.869598373,7036492.39571864,2021/02/11 00:00:00+00,867,206801,52,3846,2021/02/09 00:00:00+00,205819,11887,1278,26593,11990,121,105,423,724,873,1336,1670,6632,97383,108385,51,5131,12157,35793,36735,33123,31369,23774,27696,35,0,0,0,347
-856335.869598373,7036492.39571864,2021/02/12 00:00:00+00,921,207720,23,3865,2021/02/10 00:00:00+00,206681,11944,1286,26652,12034,123,106,427,728,879,1343,1678,6657,97781,108847,53,5170,12242,35939,36884,33268,31484,23859,27793,35,0,0,0,348
-856335.869598373,7036492.39571864,2021/02/13 00:00:00+00,1078,208796,66,3931,2021/02/11 00:00:00+00,207603,12018,1292,26721,12071,124,107,434,735,888,1348,1689,6690,98237,109313,53,5214,12331,36096,37058,33412,31594,23954,27902,34,0,0,0,349
